pocket_id,receptor_id,ligand_id,mechanistic_class,classification_confidence,A1_ppi_interface,A2_druggability,A3_perturbation_relevance,A4_state_robustness,A1_weighted,A2_weighted,A3_weighted,A4_weighted,perturbation_score,rank
EGFR_160-185_PKT19,EGFR_160-185,173940,uncertain_mechanism_candidate,low,0.253,0.1352,0.475,0.65,0.0759,0.0338,0.1425,0.0975,0.2668,94
EGFR_160-185_PKT19,EGFR_160-185,97806,uncertain_mechanism_candidate,low,0.253,0.1352,0.475,0.65,0.0759,0.0338,0.1425,0.0975,0.2668,95
EGFR_160-185_PKT19,EGFR_160-185,VAX-C12_0,uncertain_mechanism_candidate,low,0.253,0.1352,0.475,0.65,0.0759,0.0338,0.1425,0.0975,0.2668,96
EGFR_160-185_PKT30,EGFR_160-185,173940,uncertain_mechanism_candidate,low,0.253,0.1139,0.475,0.65,0.0759,0.0285,0.1425,0.0975,0.2668,97
EGFR_160-185_PKT30,EGFR_160-185,97806,uncertain_mechanism_candidate,low,0.253,0.1139,0.475,0.65,0.0759,0.0285,0.1425,0.0975,0.2668,98
EGFR_160-185_PKT30,EGFR_160-185,VAX-C12_0,uncertain_mechanism_candidate,low,0.253,0.1139,0.475,0.65,0.0759,0.0285,0.1425,0.0975,0.2668,99
EGFR_160-185_PKT37,EGFR_160-185,173940,uncertain_mechanism_candidate,low,0.253,0.1043,0.475,0.65,0.0759,0.0261,0.1425,0.0975,0.2668,100
EGFR_160-185_PKT37,EGFR_160-185,97806,uncertain_mechanism_candidate,low,0.253,0.1043,0.475,0.65,0.0759,0.0261,0.1425,0.0975,0.2668,101
EGFR_160-185_PKT37,EGFR_160-185,VAX-C12_0,uncertain_mechanism_candidate,low,0.253,0.1043,0.475,0.65,0.0759,0.0261,0.1425,0.0975,0.2668,102
EGFR_160-185_PKT38,EGFR_160-185,173940,uncertain_mechanism_candidate,low,0.253,0.1037,0.475,0.65,0.0759,0.0259,0.1425,0.0975,0.2668,103
EGFR_160-185_PKT38,EGFR_160-185,97806,uncertain_mechanism_candidate,low,0.253,0.1037,0.475,0.65,0.0759,0.0259,0.1425,0.0975,0.2668,104
EGFR_160-185_PKT38,EGFR_160-185,VAX-C12_0,uncertain_mechanism_candidate,low,0.253,0.1037,0.475,0.65,0.0759,0.0259,0.1425,0.0975,0.2668,105
EGFR_170-200_PKT01,EGFR_170-200,173940,uncertain_mechanism_candidate,low,0.253,0.2183,0.475,0.65,0.0759,0.0546,0.1425,0.0975,0.2668,106
EGFR_170-200_PKT01,EGFR_170-200,97806,uncertain_mechanism_candidate,low,0.253,0.2183,0.475,0.65,0.0759,0.0546,0.1425,0.0975,0.2668,107
EGFR_170-200_PKT01,EGFR_170-200,VAX-C12_0,uncertain_mechanism_candidate,low,0.253,0.2183,0.475,0.65,0.0759,0.0546,0.1425,0.0975,0.2668,108
EGFR_170-200_PKT04,EGFR_170-200,173940,uncertain_mechanism_candidate,low,0.253,0.1607,0.295,0.65,0.0759,0.0402,0.0885,0.0975,0.2668,109
