rank,pocket_id,receptor_id,ligand_id,mechanistic_class,classification_confidence,perturbation_score,A1_ppi_interface,A2_druggability,A3_perturbation_relevance,A4_state_robustness,relationship_class,hotspot_overlap_count,hotspot_overlap_fraction,overall_druggability_tier,ligand_support_strength,pose_support_count,best_affinity_kcal,state_class,n_states_matched,classification_basis
65,3GT8_raw_PKT08,3GT8_raw,VAX-C12_0,interface_rim_modulator_candidate,medium,0.3769,0.3062,0.1229,0.5644,0.5667,rim_candidate,2,0.133,tier_3,moderate,10,,uncertain_alignment,2,rim_relationship; overlap=2; ligand_support=moderate
66,EGFR_160-185_PKT09,EGFR_160-185,97806,interface_rim_modulator_candidate,low,0.3722,0.2814,0.1514,0.5497,0.5667,rim_candidate,1,0.071,tier_3,moderate,10,,uncertain_alignment,2,rim_relationship; overlap=1; ligand_support=moderate
67,EGFR_170-200_PKT28,EGFR_170-200,97806,interface_rim_modulator_candidate,medium,0.3705,0.3102,0.1145,0.5044,0.65,rim_candidate,2,0.143,tier_3,weak,10,,state_shifted_pocket,3,rim_relationship; overlap=2; ligand_support=weak
68,3GT8_raw_PKT20,3GT8_raw,97806,interface_rim_modulator_candidate,medium,0.3653,0.3062,0.0965,0.5644,0.5333,rim_candidate,2,0.133,tier_3,moderate,10,,state_specific_pocket,1,rim_relationship; overlap=2; ligand_support=moderate
69,EGFR_160-185_PKT34,EGFR_160-185,97806,interface_rim_modulator_candidate,low,0.3608,0.2814,0.1058,0.5497,0.5667,rim_candidate,1,0.071,tier_3,moderate,10,,uncertain_alignment,2,rim_relationship; overlap=1; ligand_support=moderate
70,3GT8_raw_PKT03,3GT8_raw,173940,uncertain_mechanism_candidate,low,0.2668,0.253,0.149,0.475,0.65,allosteric_candidate,0,0.000,tier_3,strong,5,,state_robust_pocket,3,rel=allosteric_candidate; overlap=0; tier=tier_3
71,3GT8_raw_PKT03,3GT8_raw,97806,uncertain_mechanism_candidate,low,0.2668,0.253,0.149,0.475,0.65,allosteric_candidate,0,0.000,tier_3,strong,5,,state_robust_pocket,3,rel=allosteric_candidate; overlap=0; tier=tier_3
72,3GT8_raw_PKT03,3GT8_raw,VAX-C12_0,uncertain_mechanism_candidate,low,0.2668,0.253,0.149,0.475,0.65,allosteric_candidate,0,0.000,tier_3,strong,5,,state_robust_pocket,3,rel=allosteric_candidate; overlap=0; tier=tier_3
73,3GT8_raw_PKT16,3GT8_raw,173940,uncertain_mechanism_candidate,low,0.2668,0.253,0.1136,0.475,0.65,allosteric_candidate,0,0.000,tier_3,strong,5,,state_robust_pocket,3,rel=allosteric_candidate; overlap=0; tier=tier_3
74,3GT8_raw_PKT16,3GT8_raw,97806,uncertain_mechanism_candidate,low,0.2668,0.253,0.1136,0.475,0.65,allosteric_candidate,0,0.000,tier_3,strong,5,,state_robust_pocket,3,rel=allosteric_candidate; overlap=0; tier=tier_3
75,3GT8_raw_PKT16,3GT8_raw,VAX-C12_0,uncertain_mechanism_candidate,low,0.2668,0.253,0.1136,0.475,0.65,allosteric_candidate,0,0.000,tier_3,strong,5,,state_robust_pocket,3,rel=allosteric_candidate; overlap=0; tier=tier_3
76,EGFR_160-185_PKT01,EGFR_160-185,173940,uncertain_mechanism_candidate,low,0.2668,0.253,0.2045,0.475,0.65,allosteric_candidate,0,0.000,tier_3,strong,5,,state_shifted_pocket,3,rel=allosteric_candidate; overlap=0; tier=tier_3
77,EGFR_160-185_PKT01,EGFR_160-185,97806,uncertain_mechanism_candidate,low,0.2668,0.253,0.2045,0.475,0.65,allosteric_candidate,0,0.000,tier_3,strong,5,,state_shifted_pocket,3,rel=allosteric_candidate; overlap=0; tier=tier_3
78,EGFR_160-185_PKT01,EGFR_160-185,VAX-C12_0,uncertain_mechanism_candidate,low,0.2668,0.253,0.2045,0.475,0.65,allosteric_candidate,0,0.000,tier_3,strong,5,,state_shifted_pocket,3,rel=allosteric_candidate; overlap=0; tier=tier_3
